,USDA_Food_Name,Calories_kcal,Total_Fat_g,Sodium_mg,Total_Carbohydrate_g,Dietary_Fiber_g,Protein_g,Potassium_mg,Calcium_mg,Iron_mg,Land_Use_Score,Nitrogen_Score,Water_Use_Score,GHG_Emissions_Score,Cluster
47,"Flour, rye",0.560078001948736,0.0675020027799456,0.1385001216791102,1.6571666931676103,24.25771224694189,0.0108586305893205,0.6782006920415224,0.0256647964305315,1.1595080306379686,0.9292644030582283,0.895921300136921,0.9899778531426229,0.9736499616582156,1
48,Sesame Butter,1.0454436207874316,2.0931104970064687,0.4135214353074714,0.2970747044417438,6.891142892202097,0.6285465269352785,0.4982698961937717,2.475448529641773,11.984275839789634,0.9574584742388114,0.8291910484965564,0.8566485282097294,0.949712502222871,1
49,Marinara Sauce,0.2353662830876203,0.0195926516251978,1.6494398250797917,0.0340665545636061,0.0441526778448809,0.1035262976715272,0.0919104850433037,0.0052580840554075,0.0183949748841978,0.924825348688729,0.6957520457324436,0.7447564744019827,0.9416341692330655,1
50,Enriched AP Flour,0.5729340100502701,0.0195926516251978,0.1202454436957434,1.658345938587286,0.0777346446312665,0.0658183558798179,0.2755062345160828,0.0038930865721216,7.419431656753782,0.9574584742388114,0.8291910484965564,0.8566485282097294,0.9674357668215896,1
51,Unenriched AP Flour,0.5656079699581972,0.0443910368990374,0.1202454436957434,1.6260077913903277,0.0946939075107681,0.1047060750177969,0.2130177514792899,0.0001393434930854,0.1221724924169581,0.9574584742388114,0.8291910484965564,0.8566485282097294,0.9674357668215896,1
52,Whole Wheat Flour,0.5802067693793498,0.1529528358030188,0.1109916021192535,1.5837392246127933,12.869689584873504,0.26264844231884,0.3148174689297926,0.0665692210129987,3.177972580238764,0.9574584742388114,0.8291910484965564,0.8566485282097294,0.9674357668215896,1
53,Lentils,0.5619247245419008,0.0685893139667679,0.1385001216791102,1.4623783676085258,41.87313833260436,1.0618668259013302,9.946745562130175,0.4347545421713127,12.583995545936254,0.9260894362596251,0.8763420030816812,0.7963395858904768,0.9409664896583771,1
54,Navy Beans,0.0553308106604828,0.0230106793348113,0.1216694526365314,0.4136943571474386,0.7546865739910084,1.1255903992786904,30.37456235539813,12.102889529047433,6.489209983021403,0.9827661552807446,0.9234000002126532,0.9831640914734808,0.968071688804445,1
55,Peanuts,0.913049237949984,1.7727642440142528,0.1249321338281182,0.7452909795025721,6.09963494588518,1.012224825382183,3.0191028029729123,0.1981976345731112,0.2996388571916977,0.9679093039681331,0.956984675164715,0.912513695130317,0.935860045170181,1
56,Green Peas,0.1413085156184015,0.0184507079131165,1.09920769574335,0.2256157404595988,0.0860324015919177,0.0142657622078361,0.4186851211072664,0.0086023278894579,0.1076768076372872,0.9718638360479377,0.9573716482458525,0.9250511156878434,0.9049913767819986,1
57,Soy Flour,0.7187076775394805,1.1807299085445853,0.1202454436957434,0.7855841998851871,14.044136555611775,3.7812591792953354,52.94043938494298,15.744702814454184,23.079158449144614,0.9606493083052015,0.8924921290991965,0.9665064181839624,0.9328535555700065,1
58,Almond Butter,0.984463418125946,1.948202013941723,0.1294509439433608,0.5760987141504101,10.289204082530224,0.7393275083451514,4.976331360946745,16.557900065121757,3.6724998045410593,0.953917891384632,0.7620959991785016,0.01920013031872887,0.7754686446275277,0
59,Almonds,0.9537673309687692,2.0248164755196263,1.2558449637989446,0.3850434773877009,14.137986066591743,0.6980037365186205,3.821051985012592,17.816086495340524,1.998556007894964,0.953917891384632,0.7620959991785016,0.01920013031872887,0.7754686446275277,0
60,Cashews,0.8827239082350719,1.6817585740137262,0.0944939087570288,0.9982356657252428,0.6121791708744739,0.4259530963306582,3.0506336889089085,0.1059266484477419,8.536473073717604,0.870475412474951,0.008403906541318385,0.6143923342059908,0.40328315548410804,3
61,Pecans,1.1039915377878458,2.238443761743284,0.1385001216791102,0.2256157404595988,2.285306421724189,0.0397080301728891,0.2388157490632869,0.2930223034901277,0.971989848690921,0.9671111665918666,0.6363591738918083,0.9804861736622801,0.8111129438220118,1
62,Pistachios,0.925952642785892,1.8058206058048416,0.1385001216791102,0.7799264761653283,4.084203805421606,0.7082232746266915,9.889744272230296,2.5287971812801966,2.461080589887221,0.9391798256854635,0.7256750578376356,0.0,0.7472535946043216,0
63,Coconut Oil,1.1893026145781422,2.5162048518973497,0.1385001216791102,0.3925938488273326,2.447242034805822,0.166201551423921,1.3002190782334513,0.1339090968551026,0.0648956549336515,0.8792356847822171,0.823324025632912,0.9988005055067491,0.897425179001537,1
64,Corn Oil,1.1413400214339422,2.46707716766977,0.6388871560582126,0.0879865482443426,2.740985981281277,0.004310820264946,0.5704887159210953,0.0010006330189365,0.000240445391565,0.5599996743799994,0.0,0.35303100812002525,0.025147353004034364,3
65,Olive Oil,1.1394533542575471,2.4641107453702853,0.6599831018300307,0.0742310584120524,2.740004776579439,0.0027572412103488,0.5547822253355252,0.0004712680439773,8.533970631681037e-05,0.9080867860886653,0.6996950698085067,0.18934410989081243,0.8369210892260988,0
66,Peanut Oil,1.137635842034124,2.4611354972218558,0.6800996192957027,0.0608233852471544,2.738997845138604,0.0015891226565369,0.5405364814784382,0.0001546060808372,1.2383710114167827e-05,0.9344786110824717,0.9116026855787852,0.8194880876393176,0.851538862259987,1
67,Soybean Oil,1.1453363829250285,2.472983743090422,0.5932406912972767,0.1165961081369348,2.742874964920152,0.0087566219810721,0.6067819790277665,0.0028717836675454,0.0008881964994923,0.7472800971889579,0.7840993417769245,0.8806331569103671,0.8274446574830814,1
68,Sunflower Oil,1.1364608252578452,2.4591470692138877,0.6930214907750946,0.0520718333989944,2.7383117739646043,0.0010048020602611,0.531798642913979,4.348793997212724e-05,0.0,0.9354264192786983,0.47959407207105803,0.8820670204806905,0.8274446574830814,1
69,Chicken Breast,0.0657513775627804,0.0696754441919298,0.4285219893145379,0.4270941904083188,0.0009320685126929,0.9282107155867636,0.1245674740484429,0.1000820704736825,0.0084970438226204,0.8942084150158123,0.7055209234966207,0.81534088598472,0.3625087762062705,3
70,Chicken Thighs,0.0064516352814886,0.4310505711448775,0.5859890632221231,0.4460890632179296,0.0086618364315915,0.5092096531558578,0.0013103744804569,0.059131804725735,0.0055749381939326,0.8942084150158123,0.7055209234966207,0.81534088598472,0.3625087762062705,3
71,Chicken Drumstick,0.0897046185852733,0.4318066005148266,0.7260294867008211,0.4270941904083188,0.003823663059089,1.099878160230623,0.0034602076124567,0.0325580337211253,0.0489248271602491,0.8942084150158123,0.7055209234966207,0.81534088598472,0.3625087762062705,3
72,Pork,0.7916883809457166,1.628391236245029,2.9887918478463447,0.3385034114264882,0.0015233256962595,4.345992637624907,1.9046497819454968,0.0267567944171602,0.1624152503640191,0.4685743975197266,0.02551290458653896,0.17857308257734947,0.0004692083528090046,3
73,"Beef, top sirloin",0.0412102686466628,0.4135022456528132,0.259329535647972,0.4182542642244857,0.0006940037800011,0.8704287341327,0.1926455232284351,0.1026591857221263,0.8202590727471951,0.0,0.06747777748586109,0.011743388707415288,0.0,3
74,Ham,0.0657513775627804,0.2481540495138519,2.4557415828705302,0.416134064457732,0.0012860762699919,0.3720925655459708,0.6127843410249585,0.0890916794872159,0.0008223246711076,0.8250736473370274,0.5194490908260513,0.6937181605512157,0.3326943357226927,3
75,Catfish,0.0064516352814886,0.5296418955654667,0.3919949190771635,0.4270941904083188,1.4397529479899942e-05,0.3573722715560025,0.0327593620114248,0.0631339773467292,0.0792333682990498,0.8799184574537425,0.9993559528308094,0.9129918786697622,0.14965486620314475,3
76,Cod,0.1801617287405246,0.0720607863182883,1.3756104653375731,0.4270941904083188,0.0310066112299501,0.3288229223645605,0.0010032554615998,0.0738043048608129,0.0608731593060275,1.0,1.0,1.0,0.4936058806519545,1
77,Haddock,0.1583029349280255,0.0953948215581525,1.1197588978589113,0.4270941904083188,0.0274662434111671,0.342949057162199,0.0236686390532544,0.0389280219764594,0.0363188813107549,1.0,1.0,1.0,0.6025351847795839,1
78,Pollock,0.2068299758226859,0.0996178008070082,1.4610973523441475,0.4270941904083188,0.0278586848560674,0.1168714844807475,0.1732970250404373,0.0168605626633375,0.0268426166570727,1.0,1.0,1.0,0.5967792625343583,1
79,Salmon,0.0096619109117368,0.3524060687062149,0.3401340072485179,0.4270941904083188,0.0048392778040613,0.9048751133080146,0.1245674740484429,0.0177478110274734,0.0044237080472872,0.9747890514235488,0.9998820339739561,0.8956271887160305,0.39001832655674834,3
80,Shrimp,0.1654595853468171,0.0575527598287097,1.7554061887457757,0.4073198227047588,0.015950846463611,0.294807308603685,0.2300526197252308,0.4992506732565709,5.474845906814249e-06,0.9973410177163519,0.9986591314841483,0.8643716821417537,0.043953259097523956,3
81,Tilapia,0.0994205790149158,0.1276657596984468,0.6014786623565151,0.4270941904083188,0.0032950146422149,0.5627285424049557,0.1658442701828381,0.0562961646414464,0.0792333682990498,0.8912874391412862,0.9990106333210258,0.8767296050330622,0.000159815759729999,3
82,Tuna,0.1130974981599787,0.0421618785974424,1.1398962391313012,0.4238592502641388,0.0673104287114149,0.5627285424049557,0.1182612968612436,0.0062818321678719,0.374010409228671,1.0,1.0,0.9086645070021673,0.5063789193274711,1
83,Kidney Beans,0.0,0.0058024997432325,0.9700981075542414,0.56911788300907,0.0133299535516423,0.0045753971304339,0.0127966257857128,0.3326157617396892,0.2386999140444571,0.9974998181590975,0.9654795956124899,0.7839104716565974,0.9557056682469489,1
84,Garlic,0.050483905431992,0.1027733730058181,0.2268563309548629,0.7940112160470674,0.0317771507797139,1.819612526509727e-05,0.0452298708860226,0.0009123922985628,0.0001060509035288,0.9865614163974809,0.9253136234050658,0.962388124938549,0.8746924311205492,1
85,Kale,0.2606201504088237,0.0207332927891328,0.3379136590740236,0.2305418587956546,0.6121791708744739,0.0527795324041426,0.188693925185807,15.21394629303652,0.3296261173742989,0.9866768161586444,0.9222971842713622,0.9924211439796032,0.9504353341887467,1
86,Red Onions,0.237920562892717,0.1317549087208468,0.1294144362676179,0.0785183171344401,0.0014069255828937,0.1227774268525048,0.06193566880285,0.0092393267149913,0.0234524653953882,0.996032801918502,0.97270525104906,0.9953577782979647,0.9896533917092061,1
87,Red Bell Peppers,0.2698047749840744,0.1290988646627306,0.1385001216791102,0.1144772475218839,0.2364989654040087,0.1246636446244746,0.0311418685121107,0.0759267337600846,0.0085959173955991,0.9931225101117257,0.9447562369974349,0.9794042410131262,0.9646052520525089,1
88,Potatoes,0.1538732488364374,0.1165407994717922,0.1122923065410722,0.389245164241401,0.2004987664850429,0.0796058199378286,0.990970700845601,0.0877877940787546,0.0052407920276244,0.9953774108049895,0.9625629487996173,0.971677515776447,0.9205604649688938,1
89,Tomato,0.2925246969275689,0.0980362727215489,0.1385001216791102,0.258644483364959,0.3224795534860658,0.1334185803234528,0.0712720869761061,0.0461561386496193,0.0512587757379327,0.9960076694542771,0.972781002973171,0.9746334169979989,0.9736500178534357,1
90,Tomato Paste,0.071793692018743,0.0651057485018646,0.3968964091372047,0.5406967870994942,1.084396001837039,0.0224725860518901,10.614033291701643,0.0565364895108474,2.0137044222123617,0.9759549474507591,0.8313254019113326,0.8435226586153247,0.8301581812395354,1
91,Brussels Sprouts,0.1975767703422027,0.0831534637352799,0.1119208493101007,0.0606246218164348,1.1574890268643194,0.0272722782774285,1.0365266886427384,0.0718927111978137,0.0118570555463446,0.9932605647950764,0.9202981472844732,0.9886189721124242,0.9606449749956264,1
92,Zucchini,0.2997449449010559,0.1209850215559003,0.1385001216791102,0.2855138820406678,0.438747661588606,0.1209055877329893,0.0138408304498269,0.0010265918572212,0.0315918305125103,0.9871760425407102,0.9521782462803628,0.9873306710724908,0.9484550759773558,1
93,Broccoli,0.2705457902087936,0.1069653724374027,0.2032850760362219,0.1352316789913298,0.0023813602583812,0.0630343487142581,0.0532544378698224,0.154384059104391,0.0076562033326608,0.9874466001995793,0.9105034669276346,0.986183750218779,0.9352729153663311,1
94,Cabbage,0.2695576478358996,0.1186103366342825,0.0185259096075145,0.1292679855232804,0.0787070918235356,0.121882255472856,0.0414610675457095,0.1037426524744844,0.060609568411993,0.995104625651076,0.9717269331567775,0.98679401948137,0.9820568808257483,1
95,Cauliflower,0.278905809392765,0.1175761034259502,0.0575253926735431,0.2156901006596288,0.0211394861196104,0.0947034050149264,0.009909707008456,0.0015043409763713,0.0105831829592799,0.982100514068085,0.8532013870920836,0.9812447347233815,0.922721651055213,1
96,Iceberg Lettuce,0.3042909510552437,0.1344039168924238,0.0185259096075145,0.2808518689348564,0.4257540843272914,0.1313786387144474,0.2614401834524272,0.0205460558682094,0.0696100496704003,0.9968705670081279,0.9891447837667084,0.9417059017491931,0.9707656124402966,1
97,Romaine Lettuce,0.3045296430243923,0.1152970182169216,0.9397870452963906,0.2869082582833223,0.0441526778448809,0.110300083813581,2.047460125714052e-05,0.0430230144263171,0.0513190877986739,0.992986281186788,0.9456956343094977,0.9832136960896976,0.839128572595242,1
98,Green Bell Peppers,0.2903484175049733,0.1311426013234124,0.1385001216791102,0.2126930954193593,0.3368496729578988,0.1325740907229098,0.16217931655781,0.0657018788621608,0.0331309102628017,0.9931225102778699,0.944756236843316,0.9794042460178011,0.9646052540543741,1
99,Celery,0.3052453772789715,0.1254095798879348,0.6212071703661528,0.2831855922810766,0.0011476182827344,0.1426546661363796,0.0034602076124567,0.1583852079772727,0.0792333682990498,0.9975961809537752,0.9729468050517813,0.9957422657234519,0.9843371003993078,1
100,Butternut Squash,0.227406297548176,0.1247933736447537,0.1385001216791102,0.1106066316859406,0.0199032374820121,0.1139731016706643,0.1213939108535861,0.0002843744756845,0.0280832174696337,0.9923867334587708,0.9735520379828194,0.999840197918648,1.0,1
101,Lion's Mane Mushroom,0.2412314025400183,0.1157117838802712,0.1354565307937843,0.0612068634631599,0.815861033254832,0.0651944887278717,0.7469339284617432,0.1465353235754971,0.0074701819979639,0.9968593602507824,0.9368638446933297,0.9981896675879846,0.7379160820209393,1
